"ID","S1_Progress","S2_Progress","S1_Attention1","S1_Attention2","S1_Attention3","S1_AttentionFailed","S2_Attention1","S2_Attention_2","S2_Attention_3","S2_AttentionFailed","Gender","Gender_TEXT","Ethnicity","Ethnicity_TEXT","Education","Religion","Religion_9_TEXT","Hel_Pr1","Hel_Pr2","Hel_Pr3","Hel_Pr4","Hel_Pr5","Hel_Pr6","Hel_Pr7","Age","Rrel_exp4","ICQ1","ICQ2","ICQ3","ICQ4","ICQ5","ICQ6","ICQ7","ICQ8","ICQ9","ICQ10","ICQ11","ICQ12","ICQ13","ICQ14","ICQ15","RecFP_1","RecFP_2","RecFP_3","RecFP_4","RecFP_5","RecFP_6","RecFP_7","RecFP_8","AuthFP_1","AuthFP_2","AuthFP_3","AuthFP_4","AuthFP_5","AuthFP_6","AuthFP_7","AuthFP_8","Ethnicity_Chinese","Hel_Avg","SCavg","Initiation","SelfDisc","NegAssr","EmoSup","ConfMan","RecFP","AuthFP"
63,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Malay",NA,"College/Pre-university graduate","Islam",NA,1,1,2,1,2,1,1,32,1,2,3,4,4,1,1,4,4,4,1,4,3,1,4,3,5,3,5,5,5,3,5,5,3,3,4,1,4,1,4,1,"Not Chinese",1.28571428571429,2.86666666666667,3,2.66666666666667,2,4,2.66666666666667,36,21
219,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite important","Often","Moderately so","No","Female",NA,"Malay",NA,"College/Pre-university graduate","Islam",NA,5,5,1,5,1,5,5,35,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,1,6,6,6,6,1,1,"Not Chinese",3.85714285714286,4,4,4,4,4,4,48,33
355,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Other, please specify:","Punjabi","Professional degree","Sikhism",NA,4,5,4,4,4,2,4,31,4,3,1,2,3,1,1,4,4,3,1,2,2,2,3,4,3,4,5,5,5,6,6,5,5,2,4,4,4,5,4,2,"Not Chinese",3.85714285714286,2.4,2,1.66666666666667,1.66666666666667,3.66666666666667,3,39,30
385,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,2,2,2,3,3,2,1,33,1,3,2,3,3,1,1,4,2,3,2,2,2,2,2,2,6,5,6,6,6,6,5,4,4,1,5,3,5,4,1,1,"Not Chinese",2.14285714285714,2.26666666666667,2.66666666666667,2,1.66666666666667,3,2,44,24
20,100,NA,"Disagree","Neither agree nor disagree","Agree","No",NA,NA,NA,NA,"Male",NA,"Chinese",NA,"Bachelor’s degree","Atheism",NA,2,1,2,2,3,1,4,28,4,2,2,3,3,1,1,3,2,3,3,1,3,3,3,3,6,3,5,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese",2.14285714285714,2.4,2.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,3,42,0
31,100,100,"Disagree","Agree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"College/Pre-university graduate","Christianity",NA,4,4,4,4,4,5,5,31,5,2,2,2,3,3,4,4,4,2,4,4,4,4,3,2,6,3,6,3,4,3,6,6,1,1,2,1,4,1,3,1,"Not Chinese",4.28571428571429,3.13333333333333,2,4,3.33333333333333,3.33333333333333,3,37,14
35,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"Bachelor’s degree","Hinduism",NA,2,1,1,2,2,2,1,32,4,4,4,4,4,3,3,4,4,4,2,3,2,4,3,3,5,4,6,5,6,6,3,5,4,1,5,1,3,1,1,1,"Not Chinese",1.57142857142857,3.4,4,2.33333333333333,3.33333333333333,4,3.33333333333333,40,17
42,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Atheism",NA,4,2,1,3,2,2,1,36,6,3,2,3,3,3,3,4,4,3,3,3,3,2,2,3,6,6,6,6,6,6,6,6,3,1,4,3,3,3,2,2,"Chinese",2.14285714285714,2.93333333333333,2.66666666666667,3,3,3.66666666666667,2.33333333333333,48,21
49,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"Professional degree","Atheism",NA,4,4,4,2,4,1,3,26,0,2,1,1,1,1,1,3,4,4,1,2,1,1,2,1,5,2,3,4,5,6,6,5,2,1,2,1,1,1,1,1,"Not Chinese",3.14285714285714,1.73333333333333,1.33333333333333,1.33333333333333,1,3.66666666666667,1.33333333333333,36,10
57,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Atheism",NA,2,2,2,4,2,2,1,38,5,3,3,2,4,4,4,4,4,3,3,3,3,1,2,1,6,6,5,5,6,6,6,5,5,6,4,6,4,3,2,6,"Chinese",2.14285714285714,2.93333333333333,2.66666666666667,3,4,3.66666666666667,1.33333333333333,45,36
65,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Indian",NA,"Bachelor’s degree","Hinduism",NA,5,2,2,1,1,3,1,25,4,4,1,1,4,1,1,4,3,4,2,3,2,4,3,4,6,6,6,6,6,6,6,5,4,5,6,1,3,5,1,1,"Not Chinese",2.14285714285714,2.73333333333333,2,2.33333333333333,2,3.66666666666667,3.66666666666667,47,26
74,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,3,2,4,2,3,2,26,1,2,3,2,3,2,1,3,3,3,3,3,3,2,3,3,4,3,4,4,4,5,5,4,3,2,3,2,3,2,3,1,"Chinese",2.85714285714286,2.6,2.33333333333333,3,2,3,2.66666666666667,33,19
