ID,S1_Progress,S2_Progress,S1_Attention1,S1_Attention2,S1_Attention3,S1_AttentionFailed,S2_Attention1,S2_Attention_2,S2_Attention_3,S2_AttentionFailed,Gender,Gender_TEXT,Ethnicity,Ethnicity_TEXT,Education,Religion,Religion_9_TEXT,Hel_Pr1,Hel_Pr2,Hel_Pr3,Hel_Pr4,Hel_Pr5,Hel_Pr6,Hel_Pr7,Age,Rrel_exp4,ICQ1,ICQ2,ICQ3,ICQ4,ICQ5,ICQ6,ICQ7,ICQ8,ICQ9,ICQ10,ICQ11,ICQ12,ICQ13,ICQ14,ICQ15,RecFP_1,RecFP_2,RecFP_3,RecFP_4,RecFP_5,RecFP_6,RecFP_7,RecFP_8,AuthFP_1,AuthFP_2,AuthFP_3,AuthFP_4,AuthFP_5,AuthFP_6,AuthFP_7,AuthFP_8
63,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Malay,,College/Pre-university graduate,Islam,,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,32,1 - 6 months,I'm only fair at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm always good at this,I'm OK at this,Quite important,Slightly unimportant,Quite important,Quite important,Quite important,Slightly unimportant,Quite important,Quite important,Slightly unimportant,Slightly unimportant,Slightly important,Extremely unimportant,Slightly important,Extremely unimportant,Slightly important,Extremely unimportant
219,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite important,Often,Moderately so,No,Female,,Malay,,College/Pre-university graduate,Islam,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant
355,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:",Punjabi,Professional degree,Sikhism,,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,31,more than 3 years but less than 5 years,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,Slightly unimportant,Slightly important,Quite important,Quite important,Quite important,Extremely important,Extremely important,Quite important,Quite important,Quite unimportant,Slightly important,Slightly important,Slightly important,Quite important,Slightly important,Quite unimportant
385,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Bachelor’s degree,Islam,,Disagree,Disagree,Agree,Undecided,Undecided,Disagree,Strongly disagree,33,1 - 6 months,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Slightly important,Slightly important,Extremely unimportant,Quite important,Slightly unimportant,Quite important,Slightly important,Extremely unimportant,Extremely unimportant
20,100,NA,Disagree,Neither agree nor disagree,Agree,No,NA,NA,NA,NA,Male,,Chinese,,Bachelor’s degree,Atheism,,Disagree,Strongly disagree,Agree,Disagree,Undecided,Strongly disagree,Agree,28,more than 3 years but less than 5 years,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Slightly unimportant,Quite important,Quite important,Extremely important,Extremely important,Extremely important,Quite important,NA,NA,NA,NA,NA,NA,NA,NA
31,100,100,Disagree,Agree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Indian,,College/Pre-university graduate,Christianity,,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,31,more than 5 years but less than 10 years,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm only fair at this,Extremely important,Slightly unimportant,Extremely important,Slightly unimportant,Slightly important,Slightly unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Slightly important,Extremely unimportant,Slightly unimportant,Extremely unimportant
35,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Indian,,Bachelor’s degree,Hinduism,,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,32,more than 3 years but less than 5 years,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm OK at this,Quite important,Slightly important,Extremely important,Quite important,Extremely important,Extremely important,Slightly unimportant,Quite important,Slightly important,Extremely unimportant,Quite important,Extremely unimportant,Slightly unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
42,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Atheism,,Agree,Disagree,Strongly agree,Undecided,Agree,Disagree,Strongly disagree,36,10 years or more,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly unimportant,Extremely unimportant,Slightly important,Slightly unimportant,Slightly unimportant,Slightly unimportant,Quite unimportant,Quite unimportant
49,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Indian,,Professional degree,Atheism,,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Undecided,26,NA,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,Quite important,Quite unimportant,Slightly unimportant,Slightly important,Quite important,Extremely important,Extremely important,Quite important,Quite unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
57,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Atheism,,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,38,more than 5 years but less than 10 years,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,Extremely important,Extremely important,Quite important,Quite important,Extremely important,Extremely important,Extremely important,Quite important,Quite important,Extremely important,Slightly important,Extremely important,Slightly important,Slightly unimportant,Quite unimportant,Extremely important
