"","Helicopter_parenting","Reciprocal_filial_piety","Authoritarian_filial_piety","Gender","Age","Ethnicity_Chinese","Relationship_experience","Social_competence","Relationship_initiation","Negative_assertion","Emotional_support","Self_disclosure","Conflict_management"
"Helicopter_parenting","1","-0.1","0.09","-0.06","-0.03","0.07","0.07","-0.13*","-0.12*","-0.11*","-0.1*","-0.02","-0.08"
"Reciprocal_filial_piety","-0.1","1","0.34***","0.09","0.03","-0.16**","-0.01","0.17***","0.07","0.07","0.21***","0.12*","0.11*"
"Authoritarian_filial_piety","0.09","0.34***","1","0.03","0.1","-0.1","-0.09","0","-0.01","0.05","-0.01","0.02","-0.09"
"Gender","-0.06","0.09","0.03","1","0.01","-0.06","0.07","0.01","-0.1","0.11*","0.05","0.03","-0.06"
"Age","-0.03","0.03","0.1","0.01","1","-0.2***","0.11*","0.03","0.02","0.02","0.05","0.05","-0.07"
"Ethnicity_Chinese","0.07","-0.16**","-0.1","-0.06","-0.2***","1","-0.08","-0.03","0.02","-0.04","-0.12*","0.03","0.01"
"Relationship_experience","0.07","-0.01","-0.09","0.07","0.11*","-0.08","1","0.2***","0.17***","0.13*","0.12*","0.17***","0.06"
"Social_competence","-0.13*","0.17***","0","0.01","0.03","-0.03","0.2***","1","0.68***","0.66***","0.66***","0.71***","0.59***"
"Relationship_initiation","-0.12*","0.07","-0.01","-0.1","0.02","0.02","0.17***","0.68***","1","0.35***","0.26***","0.38***","0.22***"
"Negative_assertion","-0.11*","0.07","0.05","0.11*","0.02","-0.04","0.13*","0.66***","0.35***","1","0.26***","0.38***","0.13*"
"Emotional_support","-0.1*","0.21***","-0.01","0.05","0.05","-0.12*","0.12*","0.66***","0.26***","0.26***","1","0.3***","0.44***"
"Self_disclosure","-0.02","0.12*","0.02","0.03","0.05","0.03","0.17***","0.71***","0.38***","0.38***","0.3***","1","0.28***"
"Conflict_management","-0.08","0.11*","-0.09","-0.06","-0.07","0.01","0.06","0.59***","0.22***","0.13*","0.44***","0.28***","1"
