"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"(Intercept)","0",0.0509007499254836,-2.42419272190084e-15,0.999999999999998,"","Step 1","Social_competence",0.03,0.0125183876296263,"0.03*",377,NA,NA,NA,"d_cleaned","","","No"
"Gender","0",0.0511315638938302,-0.0647875937275316,0.948377920311672,"","Step 1","Social_competence",0.03,0.0125183876296263,"0.03*",377,NA,NA,NA,"d_cleaned","","","No"
"Age","-0.01",0.0522608370719508,-0.178912378455967,0.858103903397658,"","Step 1","Social_competence",0.03,0.0125183876296263,"0.03*",377,NA,NA,NA,"d_cleaned","","","No"
"Ethnicity_Chinese","-0.02",0.0522230636846499,-0.370416216361384,0.711283211642839,"","Step 1","Social_competence",0.03,0.0125183876296263,"0.03*",377,NA,NA,NA,"d_cleaned","","","No"
"Relationship_experience","0.18***",0.0514778161415393,3.53138986968205,0.000465305382169369,"***","Step 1","Social_competence",0.03,0.0125183876296263,"0.03*",377,NA,NA,NA,"d_cleaned","***","***","No"
"(Intercept)","0",0.0501770478125077,-3.72043116090616e-15,0.999999999999997,"","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","","","No"
"Gender","-0.02",0.0507247558758448,-0.469095196505716,0.639278625397012,"","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","","","No"
"Age","-0.01",0.0517565791570544,-0.231592933958389,0.816982567828752,"","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","","","No"
"Ethnicity_Chinese","0.02",0.0525391206318211,0.290543372725337,0.771563794026863,"","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","","","No"
"Relationship_experience","0.2***",0.0512804080918554,3.84709385726898,0.000140797600071364,"***","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","***","***","No"
"Helicopter_parenting","-0.11*",0.0512872375926219,-2.13635005877412,0.033308316410739,"*","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","*","*","No"
"Reciprocal_filial_piety","0.15**",0.0550405622582632,2.67415369961438,0.00782492198280779,"**","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","**","***","Yes"
"Authoritarian_filial_piety","0",0.0548501880853304,0.00108918482163015,0.99913154500204,"","Step 2","Social_competence",0.07,0.000435372381721676,"0.07***",377,NA,NA,NA,"d_cleaned","","","No"
"(Intercept)","0",0.0510671420233823,0.0276910838715814,0.9779235862419,"","Step 3","Social_competence",0.08,0.00065690064340735,"0.08***",377,NA,NA,NA,"d_cleaned","","","No"
"Gender","-0.02",0.0507916806715039,-0.359806193685843,0.719199026676923,"","Step 3","Social_competence",0.08,0.00065690064340735,"0.08***",377,NA,NA,NA,"d_cleaned","","","No"
"Age","-0.01",0.0518061875882043,-0.196201256754983,0.844561239101967,"","Step 3","Social_competence",0.08,0.00065690064340735,"0.08***",377,NA,NA,NA,"d_cleaned","","","No"
"Ethnicity_Chinese","0.02",0.0524934817824327,0.294387517665029,0.768628241531322,"","Step 3","Social_competence",0.08,0.00065690064340735,"0.08***",377,NA,NA,NA,"d_cleaned","","","No"
