"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"(Intercept)","0",0.0509018587744928,-3.18225008405348e-15,0.999999999999997,"","Step 1","Social_competence",0.03,0.00826489533387852,"0.03**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.09",0.0516837633928427,-1.78463886123432,0.0751325364178852,"","Step 1","Social_competence",0.03,0.00826489533387852,"0.03**",377,NA,NA,NA,"d_cleaned_step3","","*","Yes"
"Reciprocal_filial_piety","0.15**",0.0549598108366091,2.6631837023254,0.00807591834814558,"**","Step 1","Social_competence",0.03,0.00826489533387852,"0.03**",377,NA,NA,NA,"d_cleaned_step3","**","***","Yes"
"Authoritarian_filial_piety","-0.02",0.0549737699104136,-0.428305018877173,0.668676276525082,"","Step 1","Social_competence",0.03,0.00826489533387852,"0.03**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0518649134302538,0.00151207581491538,0.998794351218093,"","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.09",0.0517813776629011,-1.71016505872582,0.0880714038850897,"","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.14**",0.0555203826129358,2.60322255954757,0.00960573840887099,"**","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","**","**","No"
"Authoritarian_filial_piety","-0.02",0.0552222262420534,-0.384220964522587,0.70103480427541,"","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.04",0.0593565468758888,0.75626054481825,0.449972933384474,"","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.04",0.0647516413412721,0.661211388151076,0.508887164974546,"","Step 2","Social_competence",0.04,0.0193469152873722,"0.04*",377,NA,NA,NA,"d_cleaned_step3","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Social_competence",NA,NA,NA,NA,"0.005",0.871,0.419,"d_cleaned_step3","","","No"
"(Intercept)","0",0.051319860334121,-2.90439044859479e-15,0.999999999999998,"","Step 1","Relationship_initiation",0.02,0.130079397203045,"0.02",377,NA,NA,NA,"d_cleaned_step3","","","No"
